source_pubkey,source_alias,target_pubkey,target_alias,capacity_sats,fee_base_msat,fee_rate_ppm,max_htlc_sats,cltv_delta,disabled,source_last_update,target_last_update,source_channels,target_channels,source_total_cap,target_total_cap
03713bae5ca9ab8f01968dd3c7c8aee73e799c9455866b6d53d26e755ce7be9368,🌹,03a17ec2c693c82d7b8d6616dcaf57cbfb0df506045612e08c9580b0c55dda2c1d,Middle Way Testnet4,5000000,1000,500,4950000,144,1,1780140912,1763038567,7,2,33486654,5080000
030f289f0f931cd33cc3435dc5f5fc2a6a65bb0297327d43e82562aded10df74a7,2FakTorLNtest4🧪🧬,03713bae5ca9ab8f01968dd3c7c8aee73e799c9455866b6d53d26e755ce7be9368,🌹,5000000,1000,1,4950000,80,0,1780169216,1780140912,10,7,25900000,33486654
024c6e1edd12f0792d0c1ddda3abc6e2fde6bf89f2848e00cf8d6a58fabb6c3ab6,testnet4.atomiq.exchange,02f0bf82f730d2e68453cc612c3e7ca5e021eaa1ead8250a6380c551d1d43bdc1b,Kazumyon testnet4,2000000,1000,1,1980000,80,0,1780164254,1780089371,25,11,263426937,33174232
02f0bf82f730d2e68453cc612c3e7ca5e021eaa1ead8250a6380c551d1d43bdc1b,Kazumyon testnet4,03713bae5ca9ab8f01968dd3c7c8aee73e799c9455866b6d53d26e755ce7be9368,🌹,2000000,1,500,1980000,80,0,1780089371,1780140912,11,7,33174232,33486654
02f0bf82f730d2e68453cc612c3e7ca5e021eaa1ead8250a6380c551d1d43bdc1b,Kazumyon testnet4,03d419a733a559f681fff7964bd3d722f95ac48fee0f7aa6656e19523a7581b2a1,clntn2.osys.com,2000000,1,500,2000000,80,1,1780089371,1749017240,11,1,33174232,2000000
02eadfee710367bd6919264504e966757bd222c2268b9d8a517e772b9aee46fdfb,clntn2.osys.com,03e30eba5bcabfa9be245c71384945e7139a773039fbe2f1d9c3a67189c2bba942,clntn3.osys.com,400000,1000,10,396000,6,0,1750061027,1750061027,10,11,133525022,131190022
02eadfee710367bd6919264504e966757bd222c2268b9d8a517e772b9aee46fdfb,clntn2.osys.com,03e30eba5bcabfa9be245c71384945e7139a773039fbe2f1d9c3a67189c2bba942,clntn3.osys.com,100001,1000,10,99001,6,0,1750061027,1750061027,10,11,133525022,131190022
024c6e1edd12f0792d0c1ddda3abc6e2fde6bf89f2848e00cf8d6a58fabb6c3ab6,testnet4.atomiq.exchange,03b2cdc04988685c522c709133905d6f54746214a2e79e75792f0e79e41ac00cc3,03b2cdc04988685c522c,500000,1000,1,495000,80,0,1780164254,1780133841,25,2,263426937,1000000
0278b15a6d3efa5b9a2efacf7724e820d32669ce446e90364d25623d91a8bab337,,031e00e8e827d3c370b078f978c623a1471c6b282a1b232c6edd409360dec4d0ab,,100000,0,0,0,0,0,0,0,1,1,100000,100000
024c6e1edd12f0792d0c1ddda3abc6e2fde6bf89f2848e00cf8d6a58fabb6c3ab6,testnet4.atomiq.exchange,026e4f5eeb38cb3d1b353cf04a3bb5f6bcd370aa3fa7252315894fedce3a46b06b,testhouse,100000,1000,1,99000,80,1,1780164254,1770027215,25,3,263426937,400000
026e4f5eeb38cb3d1b353cf04a3bb5f6bcd370aa3fa7252315894fedce3a46b06b,testhouse,02f0bf82f730d2e68453cc612c3e7ca5e021eaa1ead8250a6380c551d1d43bdc1b,Kazumyon testnet4,100000,1000,1,99000,80,1,1770027215,1780089371,3,11,400000,33174232
024c6e1edd12f0792d0c1ddda3abc6e2fde6bf89f2848e00cf8d6a58fabb6c3ab6,testnet4.atomiq.exchange,02eadfee710367bd6919264504e966757bd222c2268b9d8a517e772b9aee46fdfb,clntn2.osys.com,500000,1000,1,500000,80,0,1780164254,1750061027,25,10,263426937,133525022
024c6e1edd12f0792d0c1ddda3abc6e2fde6bf89f2848e00cf8d6a58fabb6c3ab6,testnet4.atomiq.exchange,02f0bf82f730d2e68453cc612c3e7ca5e021eaa1ead8250a6380c551d1d43bdc1b,Kazumyon testnet4,100000,1000,1000,99000,80,0,1780164254,1780089371,25,11,263426937,33174232
024c6e1edd12f0792d0c1ddda3abc6e2fde6bf89f2848e00cf8d6a58fabb6c3ab6,testnet4.atomiq.exchange,02eadfee710367bd6919264504e966757bd222c2268b9d8a517e772b9aee46fdfb,clntn2.osys.com,100000,1000,1000,100000,80,0,1780164254,1750061027,25,10,263426937,133525022
020d84fb6ad938545c15633b38db9e3d6dc34205295359611ae817fa0c417066f7,Lightning-Pay-Testnet,02eadfee710367bd6919264504e966757bd222c2268b9d8a517e772b9aee46fdfb,clntn2.osys.com,10000000,100,1000,10000000,144,0,1780159483,1750061027,8,10,75000000,133525022
020d84fb6ad938545c15633b38db9e3d6dc34205295359611ae817fa0c417066f7,Lightning-Pay-Testnet,024c6e1edd12f0792d0c1ddda3abc6e2fde6bf89f2848e00cf8d6a58fabb6c3ab6,testnet4.atomiq.exchange,10000000,100,1000,9900000,144,0,1780159483,1780164254,8,25,75000000,263426937
020d84fb6ad938545c15633b38db9e3d6dc34205295359611ae817fa0c417066f7,Lightning-Pay-Testnet,03713bae5ca9ab8f01968dd3c7c8aee73e799c9455866b6d53d26e755ce7be9368,🌹,10000000,100,1000,9900000,144,0,1780159483,1780140912,8,7,75000000,33486654
020d84fb6ad938545c15633b38db9e3d6dc34205295359611ae817fa0c417066f7,Lightning-Pay-Testnet,02f0bf82f730d2e68453cc612c3e7ca5e021eaa1ead8250a6380c551d1d43bdc1b,Kazumyon testnet4,10000000,100,1000,9900000,144,0,1780159483,1780089371,8,11,75000000,33174232
0232f25ae884fdf830b14f39c0c9f356e15b48b2858096fc6d4e82b68e7833d2af,VIOLETPHOTO-v25.05,023a6dedb320ed414ebdd9c04b1608e80208fb892cd927c8257ada35c23e91cb8c,SLICKERCHIPMUNK-v25.05,21000,1,10,20454,6,0,1754500591,1754500591,1,2,21000,221000
024c6e1edd12f0792d0c1ddda3abc6e2fde6bf89f2848e00cf8d6a58fabb6c3ab6,testnet4.atomiq.exchange,038e5edc06de62d69e3c53cb432804b5464fb724c06e01c09fa6afb77304803bcc,lnd1-t4,80000,1000,1,79200,80,1,1780164254,1755006770,25,4,263426937,320000
038e5edc06de62d69e3c53cb432804b5464fb724c06e01c09fa6afb77304803bcc,lnd1-t4,03e30eba5bcabfa9be245c71384945e7139a773039fbe2f1d9c3a67189c2bba942,clntn3.osys.com,80000,1000,1,80000,80,0,1755006770,1750061027,4,11,320000,131190022
038e5edc06de62d69e3c53cb432804b5464fb724c06e01c09fa6afb77304803bcc,lnd1-t4,03e30eba5bcabfa9be245c71384945e7139a773039fbe2f1d9c3a67189c2bba942,clntn3.osys.com,80000,1000,1,80000,80,0,1755006770,1750061027,4,11,320000,131190022
038e5edc06de62d69e3c53cb432804b5464fb724c06e01c09fa6afb77304803bcc,lnd1-t4,03e30eba5bcabfa9be245c71384945e7139a773039fbe2f1d9c3a67189c2bba942,clntn3.osys.com,80000,1000,1,80000,80,0,1755006770,1750061027,4,11,320000,131190022
0307537a074668fb5632ed8db476982db44f956d9dc562fe38a58f6df7b004229f,,03a17ec2c693c82d7b8d6616dcaf57cbfb0df506045612e08c9580b0c55dda2c1d,Middle Way Testnet4,80000,0,0,0,0,0,0,1763038567,1,2,80000,5080000
020d84fb6ad938545c15633b38db9e3d6dc34205295359611ae817fa0c417066f7,Lightning-Pay-Testnet,03e30eba5bcabfa9be245c71384945e7139a773039fbe2f1d9c3a67189c2bba942,clntn3.osys.com,10000000,1000,1000,10000000,144,0,1780159483,1750061027,8,11,75000000,131190022
024c6e1edd12f0792d0c1ddda3abc6e2fde6bf89f2848e00cf8d6a58fabb6c3ab6,testnet4.atomiq.exchange,02f0bf82f730d2e68453cc612c3e7ca5e021eaa1ead8250a6380c551d1d43bdc1b,Kazumyon testnet4,500000,1000,1,495000,80,0,1780164254,1780089371,25,11,263426937,33174232
024c6e1edd12f0792d0c1ddda3abc6e2fde6bf89f2848e00cf8d6a58fabb6c3ab6,testnet4.atomiq.exchange,030f289f0f931cd33cc3435dc5f5fc2a6a65bb0297327d43e82562aded10df74a7,2FakTorLNtest4🧪🧬,500000,1000,1,495000,80,0,1780164254,1780169216,25,10,263426937,25900000
024c6e1edd12f0792d0c1ddda3abc6e2fde6bf89f2848e00cf8d6a58fabb6c3ab6,testnet4.atomiq.exchange,03b2cdc04988685c522c709133905d6f54746214a2e79e75792f0e79e41ac00cc3,03b2cdc04988685c522c,500000,1000,1,495000,80,0,1780164254,1780133841,25,2,263426937,1000000
024c6e1edd12f0792d0c1ddda3abc6e2fde6bf89f2848e00cf8d6a58fabb6c3ab6,testnet4.atomiq.exchange,02a0968866b14f4387142078d4f73d3d62a1a10efff209f1b57d548ffc339e3258,testnet4-bob.atomiq.exchange,2000000,1000,1,1980000,80,0,1780164254,1780088632,25,3,263426937,106000000
024c6e1edd12f0792d0c1ddda3abc6e2fde6bf89f2848e00cf8d6a58fabb6c3ab6,testnet4.atomiq.exchange,02a0968866b14f4387142078d4f73d3d62a1a10efff209f1b57d548ffc339e3258,testnet4-bob.atomiq.exchange,4000000,1000,1,3960000,80,0,1780164254,1780088632,25,3,263426937,106000000
024c6e1edd12f0792d0c1ddda3abc6e2fde6bf89f2848e00cf8d6a58fabb6c3ab6,testnet4.atomiq.exchange,02a0968866b14f4387142078d4f73d3d62a1a10efff209f1b57d548ffc339e3258,testnet4-bob.atomiq.exchange,100000000,1000,1,99000000,80,0,1780164254,1780088632,25,3,263426937,106000000
02bd11e464e9b912e5bdeea108291fa1e5b50f7bc426d93a2ac8ce80f26d4f3bbf,FC,03e30eba5bcabfa9be245c71384945e7139a773039fbe2f1d9c3a67189c2bba942,clntn3.osys.com,200000,1,10,198000,6,0,1756693593,1750061027,2,11,350000,131190022
02bd11e464e9b912e5bdeea108291fa1e5b50f7bc426d93a2ac8ce80f26d4f3bbf,FC,02eadfee710367bd6919264504e966757bd222c2268b9d8a517e772b9aee46fdfb,clntn2.osys.com,150000,0,0,0,0,0,1756693593,1750061027,2,10,350000,133525022
024c6e1edd12f0792d0c1ddda3abc6e2fde6bf89f2848e00cf8d6a58fabb6c3ab6,testnet4.atomiq.exchange,03a98cf29998aa8de21ecaa27f316fd26521d7e8e1599118fdf71477219f576161,Testnet4Node,744867,1000,1,737419,80,1,1780164254,1756967627,25,1,263426937,744867
03713bae5ca9ab8f01968dd3c7c8aee73e799c9455866b6d53d26e755ce7be9368,🌹,03e6b5ecd05aee945dc77d2016b39a02d80e65191d475a616b7e11caeb6d2d737c,aranguren.org,2486654,1000,500,2461788,144,0,1780140912,1780151970,7,2,33486654,4986654
026620ae2efa818a89905803ed9d0b16cc072e08ae6c74f124d2e9f063ab56139e,026620ae2efa818a8990,02eadfee710367bd6919264504e966757bd222c2268b9d8a517e772b9aee46fdfb,clntn2.osys.com,175000,1000,1,175000,80,1,1778578302,1750061027,4,10,22675000,133525022
024c6e1edd12f0792d0c1ddda3abc6e2fde6bf89f2848e00cf8d6a58fabb6c3ab6,testnet4.atomiq.exchange,026620ae2efa818a89905803ed9d0b16cc072e08ae6c74f124d2e9f063ab56139e,026620ae2efa818a8990,500000,1000,1,495000,80,1,1780164254,1778578302,25,4,263426937,22675000
026620ae2efa818a89905803ed9d0b16cc072e08ae6c74f124d2e9f063ab56139e,026620ae2efa818a8990,03713bae5ca9ab8f01968dd3c7c8aee73e799c9455866b6d53d26e755ce7be9368,🌹,7000000,1000,1,6930000,80,1,1778578302,1780140912,4,7,22675000,33486654
020d84fb6ad938545c15633b38db9e3d6dc34205295359611ae817fa0c417066f7,Lightning-Pay-Testnet,026620ae2efa818a89905803ed9d0b16cc072e08ae6c74f124d2e9f063ab56139e,026620ae2efa818a8990,15000000,1000,1000,14850000,144,1,1780159483,1778578302,8,4,75000000,22675000
02eadfee710367bd6919264504e966757bd222c2268b9d8a517e772b9aee46fdfb,clntn2.osys.com,0306050832bc99220e1f0550e65e13d1dcc5655db902fcd07910deea7b537a0765,pdath-testnet4,100000,1000,10,99000,6,0,1750061027,1779537617,10,1,133525022,100000
024c6e1edd12f0792d0c1ddda3abc6e2fde6bf89f2848e00cf8d6a58fabb6c3ab6,testnet4.atomiq.exchange,0340e832eb9a7be66d81c08330e0baa4a866dcd499c1dc9db16c3115d4488adb74,0340e832eb9a7be66d81,16777215,1000,1,16609443,80,1,1780164254,1764598118,25,2,263426937,32031447
028111a54c75d549bf62c6ce0ba6aa413d47d1b2cb472c1667b440d68e76acc46b,HAPPYPENGUIN,03e30eba5bcabfa9be245c71384945e7139a773039fbe2f1d9c3a67189c2bba942,clntn3.osys.com,50000,1,10,49454,6,0,1763315602,1750061027,1,11,50000,131190022
02f0bf82f730d2e68453cc612c3e7ca5e021eaa1ead8250a6380c551d1d43bdc1b,Kazumyon testnet4,0340e832eb9a7be66d81c08330e0baa4a866dcd499c1dc9db16c3115d4488adb74,0340e832eb9a7be66d81,15254232,1,500,15101690,80,1,1780089371,1764598118,11,2,33174232,32031447
023de2e70b8eb26ceeea857b8003c2bf1e5c75060091c79d7d296b0b5e11c5c420,023de2e70b8eb26ceeea,03e30eba5bcabfa9be245c71384945e7139a773039fbe2f1d9c3a67189c2bba942,clntn3.osys.com,100000,0,0,0,0,0,1764116373,1750061027,2,11,200000,131190022
023de2e70b8eb26ceeea857b8003c2bf1e5c75060091c79d7d296b0b5e11c5c420,023de2e70b8eb26ceeea,0326234413a091305f07e755d68cc4814841f566e7edce254e920911ec35108b48,,100000,0,0,0,0,0,1764116373,0,2,1,200000,100000
026e4f5eeb38cb3d1b353cf04a3bb5f6bcd370aa3fa7252315894fedce3a46b06b,testhouse,0324d78864c7a75b3788198cfa715d8a90eed8a591531391f998f606e498d094c0,,200000,0,0,0,0,0,1770027215,0,3,1,400000,200000
030aa5aa00d9dc80965d2eb5ca95e3740dd5ee051cb6d49d6fc8e6dd45819a24b1,LND ☂,03e30eba5bcabfa9be245c71384945e7139a773039fbe2f1d9c3a67189c2bba942,clntn3.osys.com,100000,0,1000,100000,40,0,1773343717,1750061027,1,11,100000,131190022
025e0930991eb2b5324d4f667cb42b830063ab4865d1851d08808e33d526f72e66,025e0930991eb2b5324d,03b1a1eb20f9b30a608557346a2076c97c4033984a792cb39c46ecaab434355328,PocketBitcoin.com,981585,1000,1,971770,80,1,1765695634,1780131184,1,2,981585,120981606
030f289f0f931cd33cc3435dc5f5fc2a6a65bb0297327d43e82562aded10df74a7,2FakTorLNtest4🧪🧬,039a53a85abd18ae5087e8fc99d2f2b09543bfd8e68072810f6900541e279c7615,⚡j4b4t0Testnet4Node⚡,5000000,1000,1,4950000,80,0,1780169216,1780136386,10,1,25900000,5000000
024c6e1edd12f0792d0c1ddda3abc6e2fde6bf89f2848e00cf8d6a58fabb6c3ab6,testnet4.atomiq.exchange,02d3678093f7aca4fa6bc8875e8801434bf85622f7a4d20fdb14c7801c734d15df,0308a6de08543181b608,25000,1000,1,24750,80,0,1780164254,1780135472,25,1,263426937,25000
02fde09add005b4e7f3f84c1e53893951caab1073ea6b825a2266a4d81d0538c3b,testnet4.coinbin.org,030e1b7b312d0d1478d3477acfeb857081953c73ae8fbfea1225605a98db12967c,lnd.testnet4.lnmarkets.com,120000021,0,1,118800021,80,0,1780150496,1780169216,11,4,724400126,243000042
02fde09add005b4e7f3f84c1e53893951caab1073ea6b825a2266a4d81d0538c3b,testnet4.coinbin.org,030e1b7b312d0d1478d3477acfeb857081953c73ae8fbfea1225605a98db12967c,lnd.testnet4.lnmarkets.com,120000021,0,1,118800021,80,0,1780150496,1780169216,11,4,724400126,243000042
02fde09add005b4e7f3f84c1e53893951caab1073ea6b825a2266a4d81d0538c3b,testnet4.coinbin.org,03e30eba5bcabfa9be245c71384945e7139a773039fbe2f1d9c3a67189c2bba942,clntn3.osys.com,120000021,0,1,120000021,80,0,1780150496,1750061027,11,11,724400126,131190022
02eadfee710367bd6919264504e966757bd222c2268b9d8a517e772b9aee46fdfb,clntn2.osys.com,02fde09add005b4e7f3f84c1e53893951caab1073ea6b825a2266a4d81d0538c3b,testnet4.coinbin.org,120000021,1000,10,118800021,6,0,1750061027,1780150496,10,11,133525022,724400126
02fde09add005b4e7f3f84c1e53893951caab1073ea6b825a2266a4d81d0538c3b,testnet4.coinbin.org,03b1a1eb20f9b30a608557346a2076c97c4033984a792cb39c46ecaab434355328,PocketBitcoin.com,120000021,0,1,118800021,80,0,1780150496,1780131184,11,2,724400126,120981606
024c6e1edd12f0792d0c1ddda3abc6e2fde6bf89f2848e00cf8d6a58fabb6c3ab6,testnet4.atomiq.exchange,02fde09add005b4e7f3f84c1e53893951caab1073ea6b825a2266a4d81d0538c3b,testnet4.coinbin.org,120000021,1000,1,118800021,80,0,1780164254,1780150496,25,11,263426937,724400126
0293f32a6fd16c56061392252316b61cb1991d7d2a670743aa8a7bc4c15b993423,Night Owl Studios,03b258b0e19f1082877fcf112b98fb9b8d3dcf70a3b017e5cb2c52b7d0a8882bf4,Night Owl Studios (Laptop),15000,1,10,14454,6,0,1779164408,1779677597,2,2,30000,30000
0293f32a6fd16c56061392252316b61cb1991d7d2a670743aa8a7bc4c15b993423,Night Owl Studios,03b258b0e19f1082877fcf112b98fb9b8d3dcf70a3b017e5cb2c52b7d0a8882bf4,Night Owl Studios (Laptop),15000,1,10,14454,6,0,1779164408,1779677597,2,2,30000,30000
02b7591f185feb37acdecb269688dae57aa062c3ccd3a147ae77ca92e2efa3e047,youcally,02fde09add005b4e7f3f84c1e53893951caab1073ea6b825a2266a4d81d0538c3b,testnet4.coinbin.org,100000,1000,1,99000,80,1,1772805526,1780150496,1,11,100000,724400126
024c6e1edd12f0792d0c1ddda3abc6e2fde6bf89f2848e00cf8d6a58fabb6c3ab6,testnet4.atomiq.exchange,03fc9f5d39d4ea4ea2c34a5c60f3b178e8665ee5bba7e542c9bd06ca9f3d13067b,21M-testnet4,2000000,1000,1,1980000,80,1,1780164254,1773322189,25,2,263426937,4500000
024c6e1edd12f0792d0c1ddda3abc6e2fde6bf89f2848e00cf8d6a58fabb6c3ab6,testnet4.atomiq.exchange,0321110aad4150f29f12dc8a0a7473fe19ba7a55bb056624d5c069ef9e2098306e,lnd,299834,1000,1,296836,80,1,1780164254,1777646387,25,1,263426937,299834
03e6b5ecd05aee945dc77d2016b39a02d80e65191d475a616b7e11caeb6d2d737c,aranguren.org,03fc9f5d39d4ea4ea2c34a5c60f3b178e8665ee5bba7e542c9bd06ca9f3d13067b,21M-testnet4,2500000,1000,1,2475000,80,1,1780151970,1773322189,2,2,4986654,4500000
02332d8426ce3f33d2c936d73dcd9946965d62b6d9f74ae8941f921e575a5df4aa,cosmos_ln,024c6e1edd12f0792d0c1ddda3abc6e2fde6bf89f2848e00cf8d6a58fabb6c3ab6,testnet4.atomiq.exchange,500000,1000,1,495000,80,1,1773872151,1780164254,1,25,500000,263426937
022b2053758559dbfd4dee6b89067cd17d37ec7e26edb2f7b58baac501add4b72b,sweet,024c6e1edd12f0792d0c1ddda3abc6e2fde6bf89f2848e00cf8d6a58fabb6c3ab6,testnet4.atomiq.exchange,200000,1000,200,10000,144,1,1776418584,1780164254,3,25,5400000,263426937
022b2053758559dbfd4dee6b89067cd17d37ec7e26edb2f7b58baac501add4b72b,sweet,02f0bf82f730d2e68453cc612c3e7ca5e021eaa1ead8250a6380c551d1d43bdc1b,Kazumyon testnet4,200000,1000,200,90000,144,1,1776418584,1780089371,3,11,5400000,33174232
020d84fb6ad938545c15633b38db9e3d6dc34205295359611ae817fa0c417066f7,Lightning-Pay-Testnet,022b2053758559dbfd4dee6b89067cd17d37ec7e26edb2f7b58baac501add4b72b,sweet,5000000,1000,1000,2250000,144,1,1780159483,1776418584,8,3,75000000,5400000
02f0bf82f730d2e68453cc612c3e7ca5e021eaa1ead8250a6380c551d1d43bdc1b,Kazumyon testnet4,03945df15a1b5a682d8b9e23d8d0d9b6690037592a2807ba22ff031b07fd15829e,03945df15a1b5a682d8b,20000,1,500,19800,80,1,1780089371,1775834558,11,1,33174232,20000
02528abd8d9753089ec4bffd235409c42fa22a03745097f130c5147f5082c27a12,HappyBed,02fde09add005b4e7f3f84c1e53893951caab1073ea6b825a2266a4d81d0538c3b,testnet4.coinbin.org,100000,1000,1,99000,80,0,1780124062,1780150496,1,11,100000,724400126
030e1b7b312d0d1478d3477acfeb857081953c73ae8fbfea1225605a98db12967c,lnd.testnet4.lnmarkets.com,0391a0f5677df1cfab216c04ae2d1a56812c0b5e750647390f2330a18c9d11a756,btcol-testnet4,1000000,1000,1,990000,80,0,1780169216,1780089783,4,6,243000042,8200000
03075670fcd2890432bcb0faed67a17d55ecd576631d1933147a4744059aac2683,03075670fcd2890432bc,030f289f0f931cd33cc3435dc5f5fc2a6a65bb0297327d43e82562aded10df74a7,2FakTorLNtest4🧪🧬,2000000,1000,1,1980000,80,1,1779969347,1780169216,1,10,2000000,25900000
020d84fb6ad938545c15633b38db9e3d6dc34205295359611ae817fa0c417066f7,Lightning-Pay-Testnet,030f289f0f931cd33cc3435dc5f5fc2a6a65bb0297327d43e82562aded10df74a7,2FakTorLNtest4🧪🧬,5000000,1000,1000,4950000,144,0,1780159483,1780169216,8,10,75000000,25900000
02fde09add005b4e7f3f84c1e53893951caab1073ea6b825a2266a4d81d0538c3b,testnet4.coinbin.org,030f289f0f931cd33cc3435dc5f5fc2a6a65bb0297327d43e82562aded10df74a7,2FakTorLNtest4🧪🧬,2000000,0,1,1980000,80,0,1780150496,1780169216,11,10,724400126,25900000
030f289f0f931cd33cc3435dc5f5fc2a6a65bb0297327d43e82562aded10df74a7,2FakTorLNtest4🧪🧬,0391a0f5677df1cfab216c04ae2d1a56812c0b5e750647390f2330a18c9d11a756,btcol-testnet4,2000000,1000,1,1980000,80,0,1780169216,1780089783,10,6,25900000,8200000
02eadfee710367bd6919264504e966757bd222c2268b9d8a517e772b9aee46fdfb,clntn2.osys.com,030f289f0f931cd33cc3435dc5f5fc2a6a65bb0297327d43e82562aded10df74a7,2FakTorLNtest4🧪🧬,2000000,1000,10,1980000,6,0,1750061027,1780169216,10,10,133525022,25900000
030e1b7b312d0d1478d3477acfeb857081953c73ae8fbfea1225605a98db12967c,lnd.testnet4.lnmarkets.com,030f289f0f931cd33cc3435dc5f5fc2a6a65bb0297327d43e82562aded10df74a7,2FakTorLNtest4🧪🧬,2000000,1000,1,1980000,80,0,1780169216,1780169216,4,10,243000042,25900000
02d2b0666c54b9b27a2900398c6a5cce4b7c67aee76848fe8b0a6657fdf31641d1,htlcdevel-bob,03206d7390d0e6bcc927f2cd32e021bc4c11081adadb51526994dccffa6f67efd3,htlcdevel-testnet,80000,1000,1,79200,80,0,1780142767,1780143077,1,1,80000,80000
03713bae5ca9ab8f01968dd3c7c8aee73e799c9455866b6d53d26e755ce7be9368,🌹,0391a0f5677df1cfab216c04ae2d1a56812c0b5e750647390f2330a18c9d11a756,btcol-testnet4,2000000,1000,500,1980000,144,0,1780140912,1780089783,7,6,33486654,8200000
024c6e1edd12f0792d0c1ddda3abc6e2fde6bf89f2848e00cf8d6a58fabb6c3ab6,testnet4.atomiq.exchange,0391a0f5677df1cfab216c04ae2d1a56812c0b5e750647390f2330a18c9d11a756,btcol-testnet4,1000000,1000,1,990000,80,0,1780164254,1780089783,25,6,263426937,8200000
02f0bf82f730d2e68453cc612c3e7ca5e021eaa1ead8250a6380c551d1d43bdc1b,Kazumyon testnet4,0391a0f5677df1cfab216c04ae2d1a56812c0b5e750647390f2330a18c9d11a756,btcol-testnet4,1000000,1,500,990000,80,0,1780089371,1780089783,11,6,33174232,8200000
02fde09add005b4e7f3f84c1e53893951caab1073ea6b825a2266a4d81d0538c3b,testnet4.coinbin.org,0391a0f5677df1cfab216c04ae2d1a56812c0b5e750647390f2330a18c9d11a756,btcol-testnet4,1200000,0,1,1188000,80,0,1780150496,1780089783,11,6,724400126,8200000
030f289f0f931cd33cc3435dc5f5fc2a6a65bb0297327d43e82562aded10df74a7,2FakTorLNtest4🧪🧬,03ee254c7bcace82bbec92fa6de37765c996b8b9bf0ae288a194142ba44c7cf1ff,TestNPC⚡,400000,1000,1,396000,80,0,1780169216,1780170950,10,4,25900000,2100000
024c6e1edd12f0792d0c1ddda3abc6e2fde6bf89f2848e00cf8d6a58fabb6c3ab6,testnet4.atomiq.exchange,03ee254c7bcace82bbec92fa6de37765c996b8b9bf0ae288a194142ba44c7cf1ff,TestNPC⚡,500000,1000,1,495000,80,0,1780164254,1780170950,25,4,263426937,2100000
02fde09add005b4e7f3f84c1e53893951caab1073ea6b825a2266a4d81d0538c3b,testnet4.coinbin.org,03ee254c7bcace82bbec92fa6de37765c996b8b9bf0ae288a194142ba44c7cf1ff,TestNPC⚡,1000000,0,1,990000,80,0,1780150496,1780170950,11,4,724400126,2100000
023a6dedb320ed414ebdd9c04b1608e80208fb892cd927c8257ada35c23e91cb8c,SLICKERCHIPMUNK-v25.05,03ee254c7bcace82bbec92fa6de37765c996b8b9bf0ae288a194142ba44c7cf1ff,TestNPC⚡,200000,1,10,198000,6,0,1754500591,1780170950,2,4,221000,2100000
